CTR,titleWords,adWords,depth,position,advCTR,advCTRInPos,queryCTR,queryCTRInPos,gender,age
0.0,10,17,3,2,0.0136,0.0146,0.0,0.0,male,41+
0.0761,13,30,2,1,0.0373,0.0465,0.0382,0.0581,male,13-18
0.0426,12,14,1,1,0.0254,0.031,0.0255,0.0323,male,13-18
0.0,5,19,3,2,0.0178,0.0076,0.0035,0.0017,female,25-30
0.0068,11,17,2,2,0.0096,0.0069,0.0294,0.0171,female,19-24
0.0,15,28,2,2,0.0307,0.0157,0.0324,0.0137,female,31-40
0.0383,10,20,3,1,0.0283,0.0338,0.0219,0.0353,female,13-18
0.0172,9,23,3,1,0.0054,0.0084,0.0183,0.0208,male,25-30
0.0125,11,21,2,1,0.018,0.0314,0.0216,0.0296,female,13-18
0.2949,11,23,2,1,0.1546,0.2058,0.0428,0.0604,unknown,unknown
0.0128,9,23,3,2,0.0427,0.0308,0.0593,0.0176,male,31-40
0.0169,7,17,2,1,0.0106,0.0129,0.0182,0.0184,male,19-24
0.0056,13,25,2,1,0.0111,0.0194,0.003,0.0034,male,19-24
0.0451,9,20,3,2,0.0427,0.0309,0.0543,0.0173,female,0-12
0.0,12,27,3,2,0.0517,0.0106,0.0367,0.0151,male,0-12
0.0,13,21,1,1,0.0218,0.0249,0.0025,0.0025,unknown,unknown
0.0173,12,21,3,2,0.028,0.0168,0.0275,0.0226,female,13-18
0.0116,6,16,2,2,0.0405,0.034,0.0238,0.0113,female,25-30
0.024,8,24,2,2,0.0431,0.031,0.0334,0.0173,male,41+
0.0,12,25,3,3,0.0315,0.0092,0.0428,0.0,unknown,unknown
0.0081,5,25,2,1,0.0298,0.0338,0.0029,0.0065,female,41+
0.0175,9,19,2,1,0.0182,0.0278,0.0376,0.0464,unknown,unknown
0.0079,12,25,2,2,0.0311,0.0151,0.0357,0.0062,male,25-30
0.0305,8,24,2,2,0.0246,0.0123,0.0738,0.0568,female,19-24
0.0859,11,26,2,1,0.049,0.053,0.0524,0.0655,female,25-30
0.0,10,26,2,1,0.0057,0.0068,0.0033,0.0036,female,19-24
0.0433,10,18,2,2,0.0343,0.0251,0.067,0.0523,female,19-24
0.0081,12,24,2,2,0.0149,0.012,0.018,0.0082,female,13-18
0.0,10,23,2,2,0.016,0.0106,0.011,0.0088,male,0-12
0.01,15,24,2,2,0.024,0.019,0.0244,0.0061,male,19-24
0.084,9,25,2,1,0.0432,0.0608,0.0579,0.07,male,31-40
0.0,12,16,2,1,0.0058,0.0062,0.018,0.0234,female,25-30
0.0492,5,19,2,2,0.0388,0.0295,0.0486,0.0376,male,25-30
0.0225,9,22,2,1,0.0414,0.046,0.0204,0.0289,unknown,unknown
